pitch,roll,y,z,spot
1.13749,-0.28192,4.678174,1.650872,0
1.13751,-0.2825,4.678174,1.650872,0
1.13747,-0.28279,4.678174,1.650872,0
1.13741,-0.28267,4.678174,1.650872,0
1.1373,-0.28228,4.678174,1.650872,0
1.13717,-0.28163,4.678174,1.650872,0
1.13713,-0.28082,4.678174,1.650872,0
1.13732,-0.28033,4.678174,1.650872,0
1.13766,-0.27991,4.678174,1.650872,0
1.13774,-0.27929,4.678174,1.650872,0
1.13754,-0.27893,4.678174,1.650872,0
1.13729,-0.27843,4.678174,1.650872,0
1.13733,-0.27811,4.678174,1.650872,0
1.13746,-0.2779,4.678174,1.650872,0
1.13743,-0.27769,4.678174,1.650872,0
1.13735,-0.27811,4.678174,1.650872,0
1.13761,-0.27899,4.678174,1.650872,0
1.13798,-0.27985,4.678174,1.650872,0
1.13853,-0.28056,4.678174,1.650872,0
1.13929,-0.28202,4.678174,1.650872,0
1.1403,-0.28396,4.678174,1.650872,0
1.14142,-0.28564,4.678174,1.650872,0
1.14237,-0.28698,4.678174,1.650872,0
1.14314,-0.2881,4.678174,1.650872,0
1.14362,-0.28821,4.678174,1.650872,0
1.14376,-0.28767,4.678174,1.650872,0
1.14368,-0.28662,4.678174,1.650872,0
1.14346,-0.28571,4.678174,1.650872,0
1.14314,-0.28479,4.678174,1.650872,0
1.14299,-0.28412,4.678174,1.650872,0
1.14305,-0.28374,4.678174,1.650872,0
1.14331,-0.28359,4.678174,1.650872,0
1.14351,-0.28356,4.678174,1.650872,0
1.14366,-0.2833,4.678174,1.650872,0
1.14388,-0.28289,4.678174,1.650872,0
1.14389,-0.28222,4.678174,1.650872,0
1.14371,-0.28156,4.678174,1.650872,0
1.14372,-0.28063,4.678174,1.650872,0
1.14366,-0.27961,4.678174,1.650872,0
1.14384,-0.27857,4.678174,1.650872,0
1.14413,-0.27789,4.678174,1.650872,0
1.14459,-0.27744,4.678174,1.650872,0
1.14517,-0.27722,4.678174,1.650872,0
1.14589,-0.27702,4.678174,1.650872,0
1.14661,-0.27697,4.678174,1.650872,0
1.14736,-0.27699,4.678174,1.650872,0
1.1478,-0.27666,4.678174,1.650872,0
1.14824,-0.27667,4.678174,1.650872,0
1.14882,-0.2772,4.678174,1.650872,0
1.14926,-0.27725,4.678174,1.650872,0
1.14966,-0.27725,4.678174,1.650872,0
1.1501,-0.27779,4.678174,1.650872,0
1.15039,-0.27859,4.678174,1.650872,0
1.15066,-0.27909,4.678174,1.650872,0
1.15088,-0.27911,4.678174,1.650872,0
1.15101,-0.27936,4.678174,1.650872,0
1.15099,-0.2793,4.678174,1.650872,0
1.15078,-0.27899,4.678174,1.650872,0
1.15048,-0.27841,4.678174,1.650872,0
1.15037,-0.27808,4.678174,1.650872,0
1.15043,-0.27767,4.678174,1.650872,0
